num;nombre;municipio;provincia;potencia;tecnologia;aerogeneradores;potencia_unitaria
220.0;Torozos B;Torrelobatón, Berceruelo, Velilla y Villasexmir;VA;33000;VESTAS;15;2200
221.0;Torozos C;Torrelobatón, Castrodeza, Berceruelo y Velliza;VA;39600;VESTAS;18;2200
147.0;Tres Picos;Magaz;PA;2400;MADE;3;800
201.0;Urano;Aldehuelas y Villar del Río;SO;30400;MADE;38;800
84.0;Urbel del Castillo II;Huérmeces, Urbel del Castillo y Montorio;BU;50000;GAMESA;25;2000
85.0;Valbonilla;Castrojeriz;BU;11100;GAMESA;6;850
86.0;Valbuena;Villafranca - Montes de Oca y Cerratón de Juarros;BU;30400;ECOTECNIA;19;1600
103.0;Valdecarrión;Sahagún;LE;34000;GAMESA;17;2000
148.0;Valdehorno;Magaz;PA;8000;GAMESA;4;2000
104.0;Valdelacasa III;Villagatón y Quintana del Castillo;LE;10800;VESTAS;6;1800
248.0;Valdelanave;Muelas del Pan;ZA;10000;GAMESA;5;2000
105.0;Valdelín;Folgoso de la Ribera, Igüeña y Torre del Bierzo;LE;18000;VESTAS;9;2000
149.0;Valdepero;Fuentes de Valdepero;PA;30000;VESTAS;15;2000
106.0;Valdeperondo;Cea;LE;46000;GAMESA;23;2000
87.0;Valdeporres;Merindad de Valdeporres;BU;31450;GAMESA;37;850
107.0;Valdesamario;Riello, Valdesamario y Villagatón;LE;24000;GAMESA;12;2000
88.0;Valdesantos;Rabé de las Calzadas, Frandovínez, Cabia y Estepar;BU;13500;GAMESA;3;4500
14.0;Valdihuelo;Urraca Miguel;AV;16150;GAMESA;19;850
249.0;Valmediano;Tábara y Faramontanos de Tábara;ZA;34000;GAMESA;40;850
15.0;Valpardo;Navalperal de Pinares;AV;21250;GAMESA;25;850
202.0;Ventosa del Ducado;Medinaceli, Yelo y Miño de Medinaceli;SO;44000;GAMESA;22;2000
161.0;Villacastín;Villacastín;SG;14520;GAMESA;22;660
250.0;Villalazán;Toro, Villalazán y Madridanos;ZA;4980;GAMESA;6;830
90.0;Villamiel;Villamiel de la Sierra y Villoruebo;BU;17850;GAMESA;21;850
91.0;Villoruebo;Villoruebo y Palazuelos de la Sierra;BU;16150;GAMESA;19;850
203.0;Zorraquín;Golmayo y Villaciervos;SO;12000;GAMESA;6;2000
